AmaCatID	AmaPath	WowCatID_candidate	WowPath	score	decision_reason	comment
2155	Books/Arts & Photography/Performing Arts/Theater/Acting & Auditioning	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.511	needs_review_l2map	
2156	Books/Arts & Photography/Performing Arts/Theater/Broadway & Musicals	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.517	needs_review_l2map	
2157	Books/Arts & Photography/Performing Arts/Theater/Circus	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.518	needs_review_l2map	
2158	Books/Arts & Photography/Performing Arts/Theater/Direction & Production	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.491	needs_review_l2map	
2221	Books/Arts & Photography/Performing Arts/Theater/History & Criticism	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.490	needs_review_l2map	
2224	Books/Arts & Photography/Performing Arts/Theater/Miming	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.518	needs_review_l2map	
2225	Books/Arts & Photography/Performing Arts/Theater/Playwriting	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.508	needs_review_l2map	
2227	Books/Arts & Photography/Performing Arts/Theater/Puppets & Puppetry	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.501	needs_review_l2map	
2331	Books/Arts & Photography/Music/Biographies	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.526	needs_review_l2map	
2332	Books/Arts & Photography/Music/Biographies/Classical	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.575	needs_review_l2map	
2337	Books/Arts & Photography/Music/Biographies/Country & Folk	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.593	needs_review_l2map	
2338	Books/Arts & Photography/Music/Biographies/General	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.582	needs_review_l2map	
2339	Books/Arts & Photography/Music/Biographies/Jazz	550404	本・コミック・雑誌/アート・建築・デザイン/作品集	0.573	needs_review_l2map	
2340	Books/Arts & Photography/Music/Biographies/Pop	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.580	needs_review_l2map	
2341	Books/Arts & Photography/Music/Biographies/R&B & Soul	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.574	needs_review_l2map	
2342	Books/Arts & Photography/Music/Biographies/Rock	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.576	needs_review_l2map	
